cpd_id	cpd_name	cpd_abbr	microbiome_related	KEGG	HMDB	class	pathway	super_pathway	sub_pathway
HMDB0000058	Cyclic AMP	Cyclic AMP		C00575	HMDB0000058	Nucleosides	map00230 Purine metabolism; map01100 Metabolic pathways; map01522 Endocrine resistance; map02025 Biofilm formation - Pseudomonas aeruginosa; map02026 Biofilm formation - Escherichia coli; map04010 MAPK signaling pathway; map04014 Ras signaling pathway; map04015 Rap1 signaling pathway; map04020 Calcium signaling pathway; map04022 cGMP-PKG signaling pathway; map04024 cAMP signaling pathway; map04062 Chemokine signaling pathway; map04072 Phospholipase D signaling pathway; map04111 Cell cycle - yeast; map04113 Meiosis - yeast; map04114 Oocyte meiosis; map04211 Longevity regulating pathway; map04213 Longevity regulating pathway - multiple species; map04261 Adrenergic signaling in cardiomyocytes; map04270 Vascular smooth muscle contraction; map04340 Hedgehog signaling pathway; map04361 Axon regeneration; map04371 Apelin signaling pathway; map04540 Gap junction; map04611 Platelet activation; map04670 Leukocyte transendothelial migration; map04710 Circadian rhythm; map04713 Circadian entrainment; map04714 Thermogenesis; map04720 Long-term potentiation; map04723 Retrograde endocannabinoid signaling; map04724 Glutamatergic synapse; map04725 Cholinergic synapse; map04726 Serotonergic synapse; map04727 GABAergic synapse; map04728 Dopaminergic synapse; map04740 Olfactory transduction; map04742 Taste transduction; map04750 Inflammatory mediator regulation of TRP channels; map04910 Insulin signaling pathway; map04911 Insulin secretion; map04912 GnRH signaling pathway; map04913 Ovarian steroidogenesis; map04914 Progesterone-mediated oocyte maturation; map04915 Estrogen signaling pathway; map04916 Melanogenesis; map04918 Thyroid hormone synthesis; map04919 Thyroid hormone signaling pathway; map04921 Oxytocin signaling pathway; map04922 Glucagon signaling pathway; map04923 Regulation of lipolysis in adipocytes; map04924 Renin secretion; map04925 Aldosterone synthesis and secretion; map04926 Relaxin signaling pathway; map04927 Cortisol synthesis and secretion; map04928 Parathyroid hormone synthesis, secretion and action; map04934 Cushing syndrome; map04935 Growth hormone synthesis, secretion and action; map04960 Aldosterone-regulated sodium reabsorption; map04961 Endocrine and other factor-regulated calcium reabsorption; map04962 Vasopressin-regulated water reabsorption; map04970 Salivary secretion; map04971 Gastric acid secretion; map04972 Pancreatic secretion; map04976 Bile secretion; map05012 Parkinson disease; map05020 Prion disease; map05030 Cocaine addiction; map05031 Amphetamine addiction; map05032 Morphine addiction; map05034 Alcoholism; map05110 Vibrio cholerae infection; map05111 Biofilm formation - Vibrio cholerae; map05133 Pertussis; map05142 Chagas disease; map05146 Amoebiasis; map05165 Human papillomavirus infection; map05166 Human T-cell leukemia virus 1 infection; map05200 Pathways in cancer; map05207 Chemical carcinogenesis - receptor activation; map05414 Dilated cardiomyopathy	Nucleotide metabolism	Purine metabolism
HMDB0000062	L-Carnitine (C0)	L-Carnitine (C0)		C00318	HMDB0000062	Carnitines or Acyl carnitines	map04714 Thermogenesis; map04976 Bile secretion; map05415 Diabetic cardiomyopathy		
HMDB0000064	Creatine	Creatine	Y	C00300	HMDB0000064	Amino acids and Peptides	map00260 Glycine, serine and threonine metabolism; map00330 Arginine and proline metabolism; map01100 Metabolic pathways	Amino acid metabolism	Glycine, serine and threonine metabolism
HMDB0000072	Aconitic acid	Aconitic acid		C00417	HMDB0000072	Organic acids	map00020 Citrate cycle (TCA cycle); map00630 Glyoxylate and dicarboxylate metabolism; map00660 C5-Branched dibasic acid metabolism; map00720 Carbon fixation pathways in prokaryotes; map01060 Biosynthesis of plant secondary metabolites; map01061 Biosynthesis of phenylpropanoids; map01062 Biosynthesis of terpenoids and steroids; map01063 Biosynthesis of alkaloids derived from shikimate pathway; map01064 Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; map01065 Biosynthesis of alkaloids derived from histidine and purine; map01066 Biosynthesis of alkaloids derived from terpenoid and polyketide; map01070 Biosynthesis of plant hormones; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01120 Microbial metabolism in diverse environments; map01210 2-Oxocarboxylic acid metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
HMDB0000082	Cytidine triphosphate	Cytidine triphosphate		C00063	HMDB0000082	Nucleosides	map00240 Pyrimidine metabolism; map00515 Mannose type O-glycan biosynthesis; map01100 Metabolic pathways; map01232 Nucleotide metabolism; map01240 Biosynthesis of cofactors	Nucleotide metabolism	Pyrimidine metabolism
HMDB0000094	Citric acid	Citric acid	Y	C00158	HMDB0000094	Organic acids	map00020 Citrate cycle (TCA cycle); map00250 Alanine, aspartate and glutamate metabolism; map00630 Glyoxylate and dicarboxylate metabolism; map00720 Carbon fixation pathways in prokaryotes; map01053 Biosynthesis of siderophore group nonribosomal peptides; map01060 Biosynthesis of plant secondary metabolites; map01061 Biosynthesis of phenylpropanoids; map01062 Biosynthesis of terpenoids and steroids; map01063 Biosynthesis of alkaloids derived from shikimate pathway; map01064 Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; map01065 Biosynthesis of alkaloids derived from histidine and purine; map01066 Biosynthesis of alkaloids derived from terpenoid and polyketide; map01070 Biosynthesis of plant hormones; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01120 Microbial metabolism in diverse environments; map01200 Carbon metabolism; map01210 2-Oxocarboxylic acid metabolism; map01230 Biosynthesis of amino acids; map01240 Biosynthesis of cofactors; map02020 Two-component system; map04742 Taste transduction; map04922 Glucagon signaling pathway; map05230 Central carbon metabolism in cancer	Carbohydrate metabolism	Citrate cycle (TCA cycle)
HMDB0000101	Deoxyadenosine	Deoxyadenosine		C00559	HMDB0000101	Organonitrogen	map00230 Purine metabolism; map01100 Metabolic pathways; map01232 Nucleotide metabolism; map02010 ABC transporters	Nucleotide metabolism	Purine metabolism
HMDB0000107	Galactitol	Galactitol		C01697	HMDB0000107	Organooxygen	map00052 Galactose metabolism; map01100 Metabolic pathways; map02060 Phosphotransferase system (PTS)	Carbohydrate metabolism	Galactose metabolism
HMDB0000115	Glycolic acid	Glycolic acid	Y	C00160	HMDB0000115	Organic acids	map00361 Chlorocyclohexane and chlorobenzene degradation; map00625 Chloroalkane and chloroalkene degradation; map00630 Glyoxylate and dicarboxylate metabolism; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01120 Microbial metabolism in diverse environments; map01200 Carbon metabolism	Xenobiotics biodegradation and metabolism	Chlorocyclohexane and chlorobenzene degradation
HMDB0000119	Glyoxylic acid	Glyoxylic acid		C00048	HMDB0000119	Organic acids	map00230 Purine metabolism; map00232 Caffeine metabolism; map00260 Glycine, serine and threonine metabolism; map00330 Arginine and proline metabolism; map00625 Chloroalkane and chloroalkene degradation; map00630 Glyoxylate and dicarboxylate metabolism; map00660 C5-Branched dibasic acid metabolism; map00680 Methane metabolism; map00720 Carbon fixation pathways in prokaryotes; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01120 Microbial metabolism in diverse environments; map01200 Carbon metabolism	Nucleotide metabolism	Purine metabolism
HMDB0000121	Folic acid	Folic acid		C00504	HMDB0000121	Benzenoids	map00670 One carbon pool by folate; map00790 Folate biosynthesis; map01061 Biosynthesis of phenylpropanoids; map01100 Metabolic pathways; map01240 Biosynthesis of cofactors; map01523 Antifolate resistance; map04976 Bile secretion; map04977 Vitamin digestion and absorption	Metabolism of cofactors and vitamins	One carbon pool by folate
HMDB0000123	Glycine(Gly)	Glycine(Gly)		C00037	HMDB0000123	Amino acids and Peptides	map00120 Primary bile acid biosynthesis; map00230 Purine metabolism; map00260 Glycine, serine and threonine metabolism; map00310 Lysine degradation; map00440 Phosphonate and phosphinate metabolism; map00460 Cyanoamino acid metabolism; map00470 D-Amino acid metabolism; map00480 Glutathione metabolism; map00630 Glyoxylate and dicarboxylate metabolism; map00680 Methane metabolism; map00730 Thiamine metabolism; map00860 Porphyrin metabolism; map00970 Aminoacyl-tRNA biosynthesis; map01060 Biosynthesis of plant secondary metabolites; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01120 Microbial metabolism in diverse environments; map01200 Carbon metabolism; map01230 Biosynthesis of amino acids; map01240 Biosynthesis of cofactors; map01502 Vancomycin resistance; map02010 ABC transporters; map02026 Biofilm formation - Escherichia coli; map04080 Neuroactive ligand-receptor interaction; map04721 Synaptic vesicle cycle; map04974 Protein digestion and absorption; map04978 Mineral absorption; map05230 Central carbon metabolism in cancer	Lipid metabolism	Primary bile acid biosynthesis
HMDB0000124	Fructose 6-phosphate (F6P)	Fructose 6-phosphate (F6P)		C00085	HMDB0000124	Carbohydrates	map00052 Galactose metabolism; map00500 Starch and sucrose metabolism; map00680 Methane metabolism; map00710 Carbon fixation in photosynthetic organisms; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01120 Microbial metabolism in diverse environments; map01200 Carbon metabolism; map04152 AMPK signaling pathway; map04922 Glucagon signaling pathway; map04931 Insulin resistance; map05230 Central carbon metabolism in cancer; map05415 Diabetic cardiomyopathy	Carbohydrate metabolism	Galactose metabolism
HMDB0000128	Guanidoacetic acid	Guanidoacetic acid		C00581	HMDB0000128	Organic acids	map00260 Glycine, serine and threonine metabolism; map00330 Arginine and proline metabolism; map01100 Metabolic pathways	Amino acid metabolism	Glycine, serine and threonine metabolism
HMDB0000130	Homogentisic acid	Homogentisic acid		C00544	HMDB0000130	Benzenoids	map00130 Ubiquinone and other terpenoid-quinone biosynthesis; map00350 Tyrosine metabolism; map00643 Styrene degradation; map01100 Metabolic pathways; map01120 Microbial metabolism in diverse environments; map01240 Biosynthesis of cofactors	Metabolism of cofactors and vitamins	Ubiquinone and other terpenoid-quinone biosynthesis
HMDB0000133	Guanosine (G)	Guanosine (G)		C00387	HMDB0000133	Nucleosides	map00230 Purine metabolism; map01100 Metabolic pathways; map01232 Nucleotide metabolism; map02010 ABC transporters	Nucleotide metabolism	Purine metabolism
HMDB0000134	Fumaric acid	Fumaric acid	Y	C00122	HMDB0000134	Organic acids	map00020 Citrate cycle (TCA cycle); map00190 Oxidative phosphorylation; map00220 Arginine biosynthesis; map00250 Alanine, aspartate and glutamate metabolism; map00350 Tyrosine metabolism; map00360 Phenylalanine metabolism; map00620 Pyruvate metabolism; map00643 Styrene degradation; map00650 Butanoate metabolism; map00720 Carbon fixation pathways in prokaryotes; map00760 Nicotinate and nicotinamide metabolism; map01060 Biosynthesis of plant secondary metabolites; map01061 Biosynthesis of phenylpropanoids; map01062 Biosynthesis of terpenoids and steroids; map01063 Biosynthesis of alkaloids derived from shikimate pathway; map01064 Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; map01065 Biosynthesis of alkaloids derived from histidine and purine; map01066 Biosynthesis of alkaloids derived from terpenoid and polyketide; map01070 Biosynthesis of plant hormones; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01120 Microbial metabolism in diverse environments; map01200 Carbon metabolism; map01220 Degradation of aromatic compounds; map02020 Two-component system; map04922 Glucagon signaling pathway; map05200 Pathways in cancer; map05211 Renal cell carcinoma; map05230 Central carbon metabolism in cancer	Carbohydrate metabolism	Citrate cycle (TCA cycle)
HMDB0000138	Glycocholic acid (GCA)	Glycocholic acid (GCA)		C01921	HMDB0000138	Bile acids	map00120 Primary bile acid biosynthesis; map00121 Secondary bile acid biosynthesis; map01100 Metabolic pathways; map04976 Bile secretion; map04979 Cholesterol metabolism	Lipid metabolism	Primary bile acid biosynthesis
HMDB0000139	Glyceric acid	Glyceric acid	Y	C00258	HMDB0000139	Carbohydrates	map00030 Pentose phosphate pathway; map00260 Glycine, serine and threonine metabolism; map00561 Glycerolipid metabolism; map00630 Glyoxylate and dicarboxylate metabolism; map00680 Methane metabolism; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01120 Microbial metabolism in diverse environments; map01200 Carbon metabolism	Carbohydrate metabolism	Pentose phosphate pathway
HMDB0000150	Gluconolactone	Gluconolactone		C00198	HMDB0000150	Carbohydrates	map00030 Pentose phosphate pathway; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01120 Microbial metabolism in diverse environments; map01200 Carbon metabolism	Carbohydrate metabolism	Pentose phosphate pathway
HMDB0000152	Gentisic acid	Gentisic acid		C00628	HMDB0000152	Benzenoids	map00350 Tyrosine metabolism; map00362 Benzoate degradation; map00626 Naphthalene degradation; map01100 Metabolic pathways; map01120 Microbial metabolism in diverse environments	Amino acid metabolism	Tyrosine metabolism
HMDB0000153	Estriol	Estriol		C05141	HMDB0000153	Steroids and steroid derivatives	map00140 Steroid hormone biosynthesis; map01100 Metabolic pathways; map07226 Progesterone, androgen and estrogen receptor agonists/antagonists	Lipid metabolism	Steroid hormone biosynthesis
HMDB0000156	Malic acid	Malic acid		C00149	HMDB0000156	Organic acids	map00020 Citrate cycle (TCA cycle); map00620 Pyruvate metabolism; map00630 Glyoxylate and dicarboxylate metabolism; map00680 Methane metabolism; map00710 Carbon fixation in photosynthetic organisms; map00720 Carbon fixation pathways in prokaryotes; map01060 Biosynthesis of plant secondary metabolites; map01061 Biosynthesis of phenylpropanoids; map01062 Biosynthesis of terpenoids and steroids; map01063 Biosynthesis of alkaloids derived from shikimate pathway; map01064 Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; map01065 Biosynthesis of alkaloids derived from histidine and purine; map01066 Biosynthesis of alkaloids derived from terpenoid and polyketide; map01070 Biosynthesis of plant hormones; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01120 Microbial metabolism in diverse environments; map01200 Carbon metabolism; map02020 Two-component system; map04742 Taste transduction; map04922 Glucagon signaling pathway; map04964 Proximal tubule bicarbonate reclamation; map05200 Pathways in cancer; map05211 Renal cell carcinoma; map05230 Central carbon metabolism in cancer	Carbohydrate metabolism	Citrate cycle (TCA cycle)
HMDB0000158	L-Tyrosine(Tyr)	L-Tyrosine(Tyr)		C00082	HMDB0000158	Amino acids and Peptides	map00130 Ubiquinone and other terpenoid-quinone biosynthesis; map00261 Monobactam biosynthesis; map00350 Tyrosine metabolism; map00360 Phenylalanine metabolism; map00400 Phenylalanine, tyrosine and tryptophan biosynthesis; map00401 Novobiocin biosynthesis; map00460 Cyanoamino acid metabolism; map00680 Methane metabolism; map00730 Thiamine metabolism; map00940 Phenylpropanoid biosynthesis; map00950 Isoquinoline alkaloid biosynthesis; map00965 Betalain biosynthesis; map00966 Glucosinolate biosynthesis; map00970 Aminoacyl-tRNA biosynthesis; map00997 Biosynthesis of various other secondary metabolites; map00998 Biosynthesis of various antibiotics; map00999 Biosynthesis of various plant secondary metabolites; map01055 Biosynthesis of vancomycin group antibiotics; map01059 Biosynthesis of enediyne antibiotics; map01060 Biosynthesis of plant secondary metabolites; map01063 Biosynthesis of alkaloids derived from shikimate pathway; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01210 2-Oxocarboxylic acid metabolism; map01230 Biosynthesis of amino acids; map01240 Biosynthesis of cofactors; map04728 Dopaminergic synapse; map04916 Melanogenesis; map04917 Prolactin signaling pathway; map04974 Protein digestion and absorption; map05012 Parkinson disease; map05030 Cocaine addiction; map05031 Amphetamine addiction; map05034 Alcoholism; map05230 Central carbon metabolism in cancer	Metabolism of cofactors and vitamins	Ubiquinone and other terpenoid-quinone biosynthesis
HMDB0000161	L-Alanine(Ala)	L-Alanine(Ala)		C00041	HMDB0000161	Amino acids and Peptides	map00250 Alanine, aspartate and glutamate metabolism; map00270 Cysteine and methionine metabolism; map00430 Taurine and hypotaurine metabolism; map00450 Selenocompound metabolism; map00470 D-Amino acid metabolism; map00710 Carbon fixation in photosynthetic organisms; map00970 Aminoacyl-tRNA biosynthesis; map00997 Biosynthesis of various other secondary metabolites; map01060 Biosynthesis of plant secondary metabolites; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01120 Microbial metabolism in diverse environments; map01200 Carbon metabolism; map01230 Biosynthesis of amino acids; map01502 Vancomycin resistance; map02010 ABC transporters; map04122 Sulfur relay system; map04974 Protein digestion and absorption; map04978 Mineral absorption; map05230 Central carbon metabolism in cancer	Amino acid metabolism	Alanine, aspartate and glutamate metabolism
HMDB0000162	L-Proline(Pro)	L-Proline(Pro)		C00148	HMDB0000162	Amino acids and Peptides	map00330 Arginine and proline metabolism; map00332 Carbapenem biosynthesis; map00333 Prodigiosin biosynthesis; map00401 Novobiocin biosynthesis; map00404 Staurosporine biosynthesis; map00470 D-Amino acid metabolism; map00970 Aminoacyl-tRNA biosynthesis; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01230 Biosynthesis of amino acids; map02010 ABC transporters; map04974 Protein digestion and absorption; map04978 Mineral absorption; map05230 Central carbon metabolism in cancer	Amino acid metabolism	Arginine and proline metabolism
HMDB0000163	Maltose	Maltose		C00208	HMDB0000163	Carbohydrates	map00500 Starch and sucrose metabolism; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map02010 ABC transporters; map02030 Bacterial chemotaxis; map02060 Phosphotransferase system (PTS); map04742 Taste transduction; map04973 Carbohydrate digestion and absorption	Carbohydrate metabolism	Starch and sucrose metabolism
HMDB0000169	Mannose	Mannose		C00936	HMDB0000169	Carbohydrates			
HMDB0000172	Isoleucine	Isoleucine		C00407	HMDB0000172	Amino acids and Peptides	map00280 Valine, leucine and isoleucine degradation; map00290 Valine, leucine and isoleucine biosynthesis; map00460 Cyanoamino acid metabolism; map00960 Tropane, piperidine and pyridine alkaloid biosynthesis; map00966 Glucosinolate biosynthesis; map00970 Aminoacyl-tRNA biosynthesis; map01060 Biosynthesis of plant secondary metabolites; map01064 Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01210 2-Oxocarboxylic acid metabolism; map01230 Biosynthesis of amino acids; map02010 ABC transporters; map04974 Protein digestion and absorption; map04978 Mineral absorption; map05131 Shigellosis; map05230 Central carbon metabolism in cancer	Amino acid metabolism	Valine, leucine and isoleucine degradation
